المقال,التصنيفات,صحة الخبر,تاريخ النشر
حقيقة الصورة المنسوبة لمكة المكرمة عام 1860م. ...,"دينية, سياسي",إشاعة,
حقيقة الخبر المتداول عن تغيير الأذان في الشارقة بأمر من حاكم الشارقة ...,"دينية, سياسي",إشاعة,
حقيقة الفيديو المتداول عبر جماعة الحوثي بعنوان «شاب سعودي يرش الكعبة بالخمر ...,,إشاعة,
حقيقة ما يتداول عن وفيات وإصابات بسبب تدافع في المسجد النبوي ...,سياسي,إشاعة,
حقيقة القصة المتداولة عن عامل نظافة ثري يمتلك عدة فنادق ويعمل بالمسجد الحرا ...,دينية,إشاعة,
حقيقة “إحتراق صالة قمار وبيع الخمور بالسعودية” ...,سياسي,إشاعة,
حقيقة الرسالة المتداولة عن تهريب شاحنات محملة بشمام قامت إسرائيل بحقنها بفي ...,"اجتماعية, سياسي",إشاعة,
حقيقة منع رفع علم فلسطين بالحرم بالمكي,"دينية, سياسي",إشاعة,
حقيقة الخطاب المتداول مجدداً بعنوان “عدم المساس بأي شخص مفطر في شهر رمضان” ...,سياسي,إشاعة,
حقيقة المقطع المتداول عبر الواتساب عن غرق سفينة بعد استهدافها من قبل الحوثي ...,سياسي,إشاعة,
حقيقة الفيديو المتداول عن شاب يعتدي بالضرب على وزيرة أميركية بسبب الحرب في ...,سياسي,إشاعة,
حقيقة الفيديو المتداول بعنوان “شيخ سعودي كان يدعو لفلسطين وفي نصف الم ...,سياسي,إشاعة,
,,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,زائف,,2024-04-12T01:59:53+03:00
هذه الصورة تعود لاستعراض عسكري في كوريا الشمالية عام 2017 وليست للقوات المسلحة الإيرانية,مضلل,,2024-04-12T01:44:52+03:00
هذه الصورة لا تظهر تنبؤ مسلسل سيمبسون بحادثة انهيار جسر بالتيمور ولم تعرض في أي من حلقات المسلسل,زائف,,2024-04-12T01:38:05+03:00
قبطان السفينة التي تسببت بانهيار جسر “فرانسيس سكوت كي” في بالتيمور كان هنديًّا وليس أوكرانيًّا,مضلل,,2024-04-10T04:43:20+03:00
هذا المقطع متداول منذ عام 2014 على الأقل، ولا يظهر منصات صواريخ نصبها الجيش السوداني قرب ولاية الجزيرة مؤخرًا,مضلل,,2024-04-10T03:27:11+03:00
هذه الصورة لا تبين توجه شاحنات عسكرية إيرانية نحو سوريا، بل تعود لاحتفالات يوم الجيش في إيران عام 2019,مضلل,,2024-04-08T16:12:15+03:00
هذه الصورة مفبركة وليست لطائرة بدون طيار مغربية الصنع، بل لطائرات تحمل علم سويسرا,مضلل,,2024-04-07T05:21:09+03:00
هذه الصورة من مناورات البحرية الروسية في بحر البلطيق عام 2018، وليست لأسطول روسي عبر مضيق باب المندب مؤخرًا,مضلل,,2024-04-05T01:28:04+03:00
هذا الادعاء زائف ولا يمكن القضاء على السرطان بمشروب بيكربونات الصوديوم والسكر,زائف,,2024-04-04T04:29:57+03:00
ادعاءات زائفة وخرافات متداولة عن الأدرينوكروم بأنه يستخرج من دماء الأطفال وأنه يحافظ على شباب الإنسان,زائف,,2024-04-04T01:38:49+03:00
هذا المقطع متداول منذ عام 2017، ولا يصور تدمير القوات المصرية آليات عسكرية تابعة لقوات الدعم السريع مؤخرًا,مضلل,,2024-04-03T00:56:28+03:00
لا صحة لهذا الخبر المتداول حول انقطاع الانترنت في العراق وباقي الدول بسبب عاصفة مغناطيسية,زائف,,2024-03-31T16:48:50+03:00
هذا المقطع يظهر عملاً فنياً وليس كتابًا باسم “Morisa” غلافه مصنوع من جلد إنسان,مضلل,,2024-03-29T05:39:49+03:00
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,,2023-07-21T23:09:38+03:00
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,,2023-02-22T20:56:02+03:00
جيبوتي -Djibouti حملة COVID-19 vs F19,,,2020-08-29T09:16:54+03:00
اليمن -Yemen حملة COVID-19 vs F19,,,2020-08-28T09:09:55+03:00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
هل توصلت إسرائيل إلى اتفاق لتطبيع العلاقات مع إندونيسيا مؤخراً؟,,,
هل تعرض بشار الأسد لمحاولة اغتيال مؤخراً وماحقيقة فيديو ساحة الأمويين؟,,,
ما حقيقة طعن مواطن تركي لسائحة عربية مؤخراً؟,,,
ما حقيقة مقتل الجنرال الاسرائيلي رومان جوفمان متأثراً بإصابته في غزة؟,,,
هذه الصورة ليست للضابط الإيراني الذي قتل بغارة على محيط بانياس مؤخراً,,,
ما حقيقة إقرار الكونغرس قانوناً لمناهضة التطبيع مع نظام الأسد,,,
الفيديو قديم وليس لبث مشترك بين قناة إماراتية وأخرى إسرائيلية وتلفزيون البحرين بالتزامن مع الحرب على غزة,,,
ما حقيقة تصريح الشيخ علي جمعة بأن الجنة لغير المسلمين والعلاقة قبل الزواج مباحة؟,,,
الفيديو قديم وليس لقصف أمريكي استهدف مواقع للحشد الشعبي في العراق مؤخراً,,,
